run_name,run_id,group,state,model,dataset,is_eval,test_hit@10,test_hit@20,test_hit@5,test_mrr@10,test_mrr@20,test_mrr@5,test_ndcg@10,test_ndcg@20,test_ndcg@5,test_recall@10,test_recall@20,test_recall@5,eval_run_name,eval_run_id,train_run_name,train_run_id
BERT4Rec_20260206_053231,f5t0ylto,run_final,finished,BERT4Rec,realestate,False,,,,,,,,,,,,,,,BERT4Rec_20260206_053231,f5t0ylto
BPR_20260204_193446,9fpz2phk,run_final,finished,BPR,realestate,False,0.1199,0.151,0.0941,0.0688,0.0709,0.0654,0.0808,0.0887,0.0725,0.1199,0.151,0.0941,,,BPR_20260204_193446,9fpz2phk
Caser_20260205_225550,d26hjvdt,run_final,finished,Caser,realestate,False,0.0086,0.0152,0.0048,0.0028,0.0032,0.0023,0.0041,0.0058,0.0029,0.0086,0.0152,0.0048,,,Caser_20260205_225550,d26hjvdt
FOSSIL_20260205_130223,z9nryhd7,run_final,finished,FOSSIL,realestate,False,0.2423,0.3443,0.1556,0.083,0.09,0.0715,0.1202,0.1459,0.0922,0.2423,0.3443,0.1556,,,FOSSIL_20260205_130223,z9nryhd7
FPMC_20260205_082357,bi7s535u,run_final,finished,FPMC,realestate,False,0.095,0.1403,0.0623,0.039,0.0421,0.0347,0.052,0.0634,0.0415,0.095,0.1403,0.0623,,,FPMC_20260205_082357,bi7s535u
GRU4Rec_20260205_130226,f53lbfgk,run_final,finished,GRU4Rec,realestate,False,0.1816,0.2671,0.1174,0.0706,0.0765,0.0622,0.0964,0.1179,0.0758,0.1816,0.2671,0.1174,,,GRU4Rec_20260205_130226,f53lbfgk
ItemKNN_20260205_185958,edpf1lyl,run_final,finished,ItemKNN,realestate,False,0.178,0.2159,0.1291,0.0805,0.0832,0.074,0.1034,0.1131,0.0876,0.178,0.2159,0.1291,,,ItemKNN_20260205_185958,edpf1lyl
NARM_20260205_171213,6lb3hkzn,run_final,finished,NARM,realestate,False,0.1475,0.2233,0.0932,0.0564,0.0616,0.0492,0.0775,0.0966,0.0601,0.1475,0.2233,0.0932,,,NARM_20260205_171213,6lb3hkzn
NextItNet_20260204_223444,8h4svbvo,run_final,finished,NextItNet,realestate,False,0.0028,0.0048,0.0018,0.001,0.0012,0.0009,0.0014,0.0019,0.0011,0.0028,0.0048,0.0018,,,NextItNet_20260204_223444,8h4svbvo
Pop_20260204_185933,q1adkpzy,run_final,finished,Pop,realestate,False,0.4105,0.5787,0.2787,0.1768,0.1883,0.1594,0.2297,0.2721,0.1875,0.4069,0.5743,0.276,,,Pop_20260204_185933,q1adkpzy
Random_20260204_184122,l6e6tud0,run_final,finished,Random,realestate,False,0.0987,0.1974,0.0493,0.029,0.0356,0.0226,0.0446,0.069,0.0289,0.0978,0.1955,0.0488,,,Random_20260204_184122,l6e6tud0
Eval_SASRec_20260206_074813,8pzzteox,run_final,finished,SASRec,realestate,True,0.1874,0.277,0.1162,0.0549,0.061,0.0454,0.0859,0.1085,0.063,0.1874,0.277,0.1162,Eval_SASRec_20260206_074813,8pzzteox,SASRec_20260205_174622,0aooj3ig
STAMP_20260204_194348,9ie5zv6h,run_final,finished,STAMP,realestate,False,0.1477,0.2235,0.0923,0.0547,0.0598,0.0474,0.0762,0.0953,0.0584,0.1477,0.2235,0.0923,,,STAMP_20260204_194348,9ie5zv6h
Eval_TransRec_20260205_231754,707rqq0c,run_final,finished,TransRec,realestate,True,0.158,0.2385,0.0969,0.0505,0.0561,0.0425,0.0756,0.0959,0.0559,0.158,0.2385,0.0969,Eval_TransRec_20260205_231754,707rqq0c,TransRec_20260205_192510,7biksevh
